tracker_name,datafile_prefix
"camera","camera_movement"
"hip","hiptracker_movement"
"leftfoot","leftfoottracker_movement"
"lefthand","lefthandtracker_movement"
"rightfoot","rightfoottracker_movement"
"righthand","righthandtracker_movement"
"steptargets","steptargetsmanager_targetsteps"
"treadmillleft","treadmillleft_movement"
"treadmillright","treadmillright_movement"
"treadmillback","treadmillrightback_movement"
"eye","eyetracking_EyeGaze"
"leftdisturbance","leftfoot_disturbance_noise"
"rightdisturbance","rightfoot_disturbance_noise"
