"participant","trialNum","heelStrikes.time"
"1",3,23.1222
"1",3,23.8778
"1",3,41.7889
"1",3,91.0778
"1",3,91.8111
"1",5,117.444
"1",6,179.222
"1",6,179.144
"1",6,23.0549999999998
"1",6,23.9110000000001
"1",6,28.6329999999998
"1",5,144.377
"1",5,145.488
"1",5,59.1659999999999
"1",5,59.9000000000001
"1",2,76.5777
"1",2,77.2777
"1",2,138.5555
"10",2,172.3222
"10",2,173.0782
"10",2,179.5332
"10",3,154.078
"10",3,179.867
"10",5,123.689
"10",5,124.511
"10",5,179.833
"10",6,12.1780000000003
"10",6,17.3890000000001
"10",6,18.2220000000002
"10",6,179.4
"10",6,175.022
"10",6,175.522
"11",6,2.62300000000005
"11",6,3.37800000000016
"11",5,45.6329999999998
"11",5,46.6219999999998
"11",5,6.69999999999982
"11",5,131.578
"11",5,132.144
"11",5,162.822
"11",5,163.211
"11",3,179.322
"11",3,45.8109999999999
"11",2,179.3554
"11",2,105.9334
"11",2,106.6334
"11",2,25.1
"11",2,26.3111
"11",5,179.322
"1",2,179.2555
"1",6,28.4769999999999
"10",5,124.411
