QuestionID,question,mirror,category
q1,While I was working on the task I was thinking about how much I enjoyed it.,false,interest_enjoyment
q2,I think I am pretty good at this task.,false,percieved_competence
q3,I found the task very interesting.,false,interest_enjoyment
q4,This task was fun to do.,false,interest_enjoyment
q5,I am satisfied with my performance at this task.,false,percieved_competence
q6,I thought this was a boring task.,true,interest_enjoyment
q7,I felt pretty skilled at this task.,false,percieved_competence
q8,After working at this task for awhile I felt pretty competent.,false,percieved_competence
q9,I put a lot of effort into this.,false,effort
q10,I didn't try very hard to do well at this task.,true,effort
q11,It was important to me to do well at this task.,false,effort
q12,I didn't put much energy into this.,true,effort
