QuestionID,question,mirror,category
q1,It felt like the virtual body was my body.,false,body_ownership
q2,It felt like the virtual body parts were my body parts.,false,body_ownership
q3,The virtual body felt like a human body.,false,body_ownership
q4,It felt like the virtual body belonged to me.,false,body_ownership
q5,The movements of the virtual body felt like they were my movements.,false,agency
q6,I felt like I was controlling the movements of the virtual body.,false,agency
q7,I felt like I was causing the movements of the virtual body.,false,agency
q8,The movements of the virtual body were in sync with my own movements.,false,agency
q9,I felt like the form or appearance of my own body had changed.,false,change
q10,I felt like the weight of my own body had changed.,false,change
q11,I felt like the size (height) of my own body had changed.,false,change
q12,I felt like the width of my own body had changed.,false,change
